"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:57","Gut, dass du kommst. Du kannst direkt deine Strafe zahlen.","Добре, що ти прийшов. Можеш одразу сплатити свій штраф.","","False","DIA_Hagen_PMSchulden_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:69","Du nimmst die Gesetze der Stadt nicht ernst, was?","Ти, певно, не надто серйозно ставишся до законів міста, еге ж?","","False","DIA_Hagen_PMSchulden_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:70","Die Liste deiner Straftaten ist länger geworden.","Список твоїх злочинів продовжує зростати.","","False","DIA_Hagen_PMSchulden_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:73","Und sag mir nicht, du wusstest das nicht!","І тільки не кажи мені, що ти про це не знав!","","False","DIA_Hagen_PMSchulden_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:77","Du wirst die Höchststrafe bezahlen.","Ти заплатиш максимальний штраф.","","False","DIA_Hagen_PMSchulden_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:83","Nun, wie es scheint, hat sich die Situation geändert.","Що ж, схоже, ситуація змінилася.","","False","DIA_Hagen_PMSchulden_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:87","Es gibt keine Zeugen mehr für deinen Mord.","Свідків твого вбивства більше не лишилося.","","False","DIA_Hagen_PMSchulden_04_06","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:93","Niemand bezeugt mehr deinen Diebstahl.","Свідків твоєї крадіжки більше не лишилося.","","False","DIA_Hagen_PMSchulden_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:99","Für deine Schlägerei findet sich kein Zeuge mehr.","Свідків твоєї бійки більше не лишилося.","","False","DIA_Hagen_PMSchulden_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:104","Sämtliche Anklagen gegen dich sind nicht mehr haltbar.","Усі звинувачення проти тебе більше не мають підстав.","","False","DIA_Hagen_PMSchulden_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:107","Ich weiß ja nicht, was da in der Stadt gelaufen ist - und ich will es auch gar nicht wissen.","Я гадки не маю, що там у місті відбувалося, – та й знати не хочу.","","False","DIA_Hagen_PMSchulden_04_10","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:108","Sorge einfach dafür, dass du hier keinen Ärger bekommst.","Просто подбай, аби не втрапити тут у неприємності.","","False","DIA_Hagen_PMSchulden_04_11","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:112","Ich habe mich jedenfalls entschieden, dir deine Schulden zu erlassen.","У будь‑якому разі я вирішив пробачити тобі твої борги.","","False","DIA_Hagen_PMSchulden_04_12","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:113","Sieh zu, dass du nicht wieder in Schwierigkeiten kommst.","Гляди, щоб знову не втрапити у неприємності.","","False","DIA_Hagen_PMSchulden_04_13","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:121","Deine Strafe wirst du trotzdem in voller Höhe zahlen.","Свій штраф ти все одно сплатиш у повному обсязі.","","False","DIA_Hagen_PMSchulden_04_14","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:123","Also, willst du bezahlen?","То що, сплатиш?","","False","DIA_Hagen_PMSchulden_04_15","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:132","Ich habe nicht genug Gold!","У мене недостатньо золота!","","False","DIA_Hagen_PMSchulden.DIA_Hagen_PETZMASTER_PayLater","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:133","Wieviel war es nochmal?","Скільки ж там було?","","False","DIA_Hagen_PMSchulden.DIA_Hagen_PMSchulden_HowMuchAgain","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:136","Ich will die Strafe zahlen.","Я хочу сплатити штраф.","","False","DIA_Hagen_PMSchulden.DIA_Hagen_PETZMASTER_PayNow","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:143","Wie viel war es noch mal?","Скільки там цього разу?","","False","DIA_Hagen_PMSchulden_HowMuchAgain_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:186","Dein Ruf eilt dir voraus. Du hast gegen die Gesetze der Stadt verstoßen.","Твоя слава випереджає тебе. Ти порушив закони міста.","","False","DIA_Hagen_PETZMASTER_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:191","Du hast dir ganz schön was eingebrockt.","Ти собі добряче влетів у халепу.","","False","DIA_Hagen_PETZMASTER_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:192","Mord ist ein schweres Vergehen!","Вбивство – тяжкий злочин!","","False","DIA_Hagen_PETZMASTER_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:197","Abgesehen von deinen anderen Straftaten.","Не кажучи вже про твої інші злочини.","","False","DIA_Hagen_PETZMASTER_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:200","Die Wachen haben Befehl, jeden Mörder auf der Stelle zu richten.","Вартові мають наказ страчувати будь‑якого вбивцю на місці.","","False","DIA_Hagen_PETZMASTER_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:201","Niemand will, dass hier in der Stadt gemordet wird. Aber du kannst deine Reue zeigen, indem du deine Strafe zahlst.","Ніхто не хоче, щоб у місті коїлися вбивства. Але ти можеш виявити своє каяття, сплативши штраф.","","False","DIA_Hagen_PETZMASTER_04_05","",""
