"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:8","Rattenjagd","Полювання на щурів","","","TOPIC_Addon_RatHunt","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:9","Alligator Jack kann Hilfe bei der Jagd gebrauchen.","Alligator Jack kann Hilfe bei der Jagd gebrauchen.","","True","TOPIC_Addon_RatHunt_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:10","Das einzige, was hier in der Gegend genießbar sein soll, sind Sumpfratten.","Das einzige, was hier in der Gegend genießbar sein soll, sind Sumpfratten.","","True","TOPIC_Addon_RatHunt_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:11","Die Jagd war erfolgreich. Wir haben mehrere Sumpfratten erlegt.","Die Jagd war erfolgreich. Wir haben mehrere Sumpfratten erlegt.","","True","TOPIC_Addon_RatHunt_3","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:13","Fleisch für Morgan","М'ясо для Моргана","","","TOPIC_Addon_BringMeat","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:14","Alligator Jack hat mir 10 Stücke Fleisch gegeben. Ich soll sie zu Morgan bringen.","Alligator Jack hat mir 10 Stücke Fleisch gegeben. Ich soll sie zu Morgan bringen.","","True","TOPIC_Addon_BringMeat_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:15","Ich habe Morgan sein Fleisch gebracht.","Ich habe Morgan sein Fleisch gebracht.","","True","TOPIC_Addon_BringMeat_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:17","Der Turm","Башта","","","TOPIC_Addon_BanditsTower","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:18","Ein paar Banditen haben den Turm südlich des Piratenlagers besetzt und sich dort verschanzt.","Ein paar Banditen haben den Turm südlich des Piratenlagers besetzt und sich dort verschanzt.","","True","TOPIC_Addon_BanditsTower_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:19","Die Banditen aus dem Turm sind tot.","Die Banditen aus dem Turm sind tot.","","True","TOPIC_Addon_BanditsTower_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:20","Henry will, dass ich die Banditen aus dem Turm vertreibe. Er kann mir keine Unterstüzung geben.","Henry will, dass ich die Banditen aus dem Turm vertreibe. Er kann mir keine Unterstüzung geben.","","True","TOPIC_Addon_BanditsTower_3","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:21","Henry will, dass ich die Banditen aus dem Turm vertreibe. Ich soll mir einen seiner Jungs mitnehmen.","Henry will, dass ich die Banditen aus dem Turm vertreibe. Ich soll mir einen seiner Jungs mitnehmen.","","True","TOPIC_Addon_BanditsTower_4","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:22","Greg will, dass ich die Banditen aus dem Turm südlich des Lagers vertreibe.","Greg will, dass ich die Banditen aus dem Turm südlich des Lagers vertreibe.","","True","TOPIC_Addon_BanditsTower_5","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:23","Die Banditen aus dem Turm sind tot. Greg war sehr zufrieden mit mir.","Die Banditen aus dem Turm sind tot. Greg war sehr zufrieden mit mir.","","True","TOPIC_Addon_BanditsTower_6","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:25","Holz für die Palisade","Дерево для частоколу","","","TOPIC_Addon_HolOwen","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:26","Henry wartet auf das Holz für die Palisade. Ich soll Owen benachrichtigen. Er ist mit Malcom zusammen beim Talkessel.","Henry wartet auf das Holz für die Palisade. Ich soll Owen benachrichtigen. Er ist mit Malcom zusammen beim Talkessel.","","True","TOPIC_Addon_HolOwen_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:27","Owen und Malcom sind beide tot.","Owen und Malcom sind beide tot.","","True","TOPIC_Addon_HolOwen_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:28","Owen wird Henry das Holz bringen.","Owen wird Henry das Holz bringen.","","True","TOPIC_Addon_HolOwen_3","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:29","Ich soll Henry ausrichten, dass Owen das Holz liefern wird.","Ich soll Henry ausrichten, dass Owen das Holz liefern wird.","","True","TOPIC_Addon_HolOwen_4","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:31","Garetts Kompass","Компас Гаретта","","","TOPIC_Addon_Kompass","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:32","Greg hat Garret einen wertvollen Kompass abgenommen. Garett vermutet, dass er ihn irgendwo am südlichen Strand verbuddelt hat.","Greg hat Garret einen wertvollen Kompass abgenommen. Garett vermutet, dass er ihn irgendwo am südlichen Strand verbuddelt hat.","","True","TOPIC_Addon_Kompass_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:33","Garret war sehr zufrieden, dass ich ihm seinen Kompass zurück gebracht habe.","Garret war sehr zufrieden, dass ich ihm seinen Kompass zurück gebracht habe.","","True","TOPIC_Addon_Kompass_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:35","Grog für den Koch","Грог для кухаря","","","TOPIC_Addon_RoastGrog","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:36","Der Pirat am Feuer braucht ganz dringend einen Grog.","Der Pirat am Feuer braucht ganz dringend einen Grog.","","True","TOPIC_Addon_RoastGrog_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:37","Der Grog hat ihn anscheined vor dem Verdursten gerettet.","Der Grog hat ihn anscheined vor dem Verdursten gerettet.","","True","TOPIC_Addon_RoastGrog_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:39","Ein Drink für Brandon","Напій для Брендона","","","TOPIC_Addon_BrandonBooze","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:40","Ich soll Brandon einen Drink spendieren. Dann ist er bereit mich zu unterrichten.","Ich soll Brandon einen Drink spendieren. Dann ist er bereit mich zu unterrichten.","","True","TOPIC_Addon_BrandonBooze_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:41","Grog ist Brandon nicht gut genug. Er will einen 'Schneller Hering'. Das Zeug gibts nur bei Samuel.","Grog ist Brandon nicht gut genug. Er will einen 'Schneller Hering'. Das Zeug gibts nur bei Samuel.","","True","TOPIC_Addon_BrandonBooze_2","",""
