"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:87","Du bist also der Neue, mh? Willkommen in unserer Mitte, Bruder des 'Rings'.","所以你是新同伴了，嗯哼？欢迎加入我们，“环”的兄弟。","","False","DIA_Addon_Cord_MeetingIsRunning_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:92","Geh erst zu Vatras, dann hab ich vielleicht wieder Zeit für dich.","先 去 瓦 卓 斯 那 里 ， 也 许 那 时 我 就 有 时 间 和 你 谈 谈 了 。","","False","DIA_Addon_Cord_MeetingIsRunning_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:125","Hey du. Du hast hier oben nichts zu suchen. Hier haben nur Paladine und wir von der Miliz Zutritt.","嘿，你，别在这里闲逛，只有圣骑士和我们这些民兵才能进入这里。","","False","DIA_Addon_Martin_Hallo_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:137","Was gibt es denn hier oben?","这 有 什 么 新 鲜 事 吗 ？","","False","DIA_Addon_Martin_WasMachstDu.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:150","Was gibt es denn hier oben?","这 有 什 么 新 鲜 事 吗 ？","","False","DIA_Addon_Martin_WasMachstDu_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:151","Du stehst hier im Proviantlager der königlichen Garde der Paladine.","这 是 圣 骑 士 皇 家 卫 兵 的 给 养 仓 库 。","","False","DIA_Addon_Martin_WasMachstDu_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:156","Ich bin hier der Proviantmeister und verantwortlich für den Paladinkrempel, dass hier nichts abhanden kommt und du bist hier nicht erwünscht.","我 是 这 里 的 给 养 负 责 人 ，我 的 责 任 就 是 不 让 任 何 圣 骑 士 的 物 品 外 流 , 而 这 里 不 需 要 你 。","","False","DIA_Addon_Martin_WasMachstDu_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:157","Also behalte deine Finger bei dir, sonst hack ich sie dir ab.","那 么 把 你 的 手 看 好 ， 不 然 我 就 把 它 们 剁 掉 。","","False","DIA_Addon_Martin_WasMachstDu_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:170","Kannst du mir etwas von dem Paladinkrempel verkaufen?","你 能 卖 我 任 何 圣 骑 士 的 东 西 吗 ？","","False","DIA_Addon_Martin_PreTrade.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:183","Kannst du mir etwas von dem Paladinkrempel verkaufen?","你 能 卖 我 任 何 圣 骑 士 的 东 西 吗 ？","","False","DIA_Addon_Martin_PreTrade_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:184","Du willst was kaufen? Mh. Sagen wir mal so, wenn du mich für den Ärger entschädigen kannst, dass den Paladinen mal wieder was abhanden gekommen ist, kommen wir vielleicht ins Geschäft.","你 想 买 ？ 嗯 。 这 样 吧 ， 如 果 你 能 补 偿 我 因 为 圣 骑 士 的 东 西 外 流 而 惹 上 的 麻 烦 ， 那 我 们 也 许 能 做 这 个 交 易 。","","False","DIA_Addon_Martin_PreTrade_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:185","Passiert das öfter, dass etwas abhanden kommt?","物 品 外 流 的 事 经 常 发 生 吗 ？","","False","DIA_Addon_Martin_PreTrade_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:186","Solange der Proviantmeister sagt, dass es alles seine Richtigkeit hat, nicht.","既 然 补 给 官 员 已 经 说 过 一 切 物 品 都 正 常 ， 不 。","","False","DIA_Addon_Martin_PreTrade_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_MIL_350_Martin.d:187","Verstehe.","我 知 道。","","False","DIA_Addon_Martin_PreTrade_15_04","",""
