"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:33","Wie in alten Zeiten.","就 像 过 去 一 样。","","False","DIA_Milten_DI_Hello.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:46","Wie in alten Zeiten.","就 像 过 去 一 样。","","False","DIA_Milten_DI_Hello_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:47","Du sagst es. Ich bin ja mal gespannt, ob es diesmal klappt.","你 说 中 了 。 我 很 好 奇 ， 想 看 看 这 次 你 会 不 会 成 功 。","","False","DIA_Milten_DI_Hello_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:48","Was?","什 么 ？","","False","DIA_Milten_DI_Hello_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:49","Dass du deinen Hintern retten kannst, bevor wieder die ganze Höhle über dich hereinbricht!","在 你 周 围 的 一 切 都 乱 套 之 前 自 保 吧 。","","False","DIA_Milten_DI_Hello_03_03","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:63","Hast du ein paar Tränke übrig?","有 多 的 药 剂 能 分 一 点 吗 ？","","False","DIA_Milten_DI_TRADE.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:77","Hast du ein paar Tränke übrig?","有 多 的 药 剂 能 分 一 点 吗 ？","","False","DIA_Milten_DI_TRADE_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:88","Solange der Vorrat reicht.","当 还 有 供 应 的 时 候 。","","False","DIA_Milten_DI_TRADE_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:100","Welchen Rat kannst du mir geben?","你 能 给 我 什 么 建 议 ？","","False","DIA_Milten_DI_Rat.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:114","Welchen Rat kannst du mir geben?","你 能 给 我 什 么 建 议 ？","","False","DIA_Milten_DI_Rat_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:115","Mmh. Es ehrt mich sehr, dass du gerade mich um Rat fragst. Mich beschäftigt schon die ganze Zeit nur eine Sache.","唔 。 在 所 有 人 里 ， 你 挑 选 我 来 征 求 建 议 ， 这 是 一 种 莫 大 的 荣 耀 。 我 的 脑 子 里 一 直 只 想 着 一 件 事 。","","False","DIA_Milten_DI_Rat_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:116","Hast du das Auge Innos' mitgebacht?","你 带 来 了 英 诺 斯 之 眼 吗 ？","","False","DIA_Milten_DI_Rat_03_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:122","Nein.","不。","","False","DIA_Milten_DI_Rat.DIA_Milten_DI_Rat_nein","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:126","Natürlich.","当然。","","False","DIA_Milten_DI_Rat.DIA_Milten_DI_Rat_ja","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:132","Nein.","不。","","False","DIA_Milten_DI_Rat_nein_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:133","(entrüstet) Du bist doch ... Was wirst du denn tun, wenn dir hier auf der Insel Drachen begegnen?","（ 愤 怒 的 ） 你 是 如 此 … … 那 么 ， 如 果 你 在 这 岛 上 遇 到 龙 ， 你 打 算 怎 么 办 ？","","False","DIA_Milten_DI_Rat_nein_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:134","Hast du denn gar nichts dazu gelernt? Sogar einen Alchemietisch haben wir hier, um das dämliche Ding wieder aufladen zu können.","到 现 在 你 还 不 能 聪 明 点 吗 ？ 我 们 这 里 连 炼 金 术 士 工 作 台 都 有 ， 所 以 我 们 能 重 新 补 充 那 个 东 西 。","","False","DIA_Milten_DI_Rat_nein_03_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:135","Und was machst du? Ich kann nur hoffen, dass uns deine Schlamperei nicht den Kopf kostet.","那 你 在 干 什 么 ？ 我 只 能 希 望 你 的 粗 心 大 意 不 会 要 了 我 们 的 命 。","","False","DIA_Milten_DI_Rat_nein_03_03","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:141","Natürlich.","当然。","","False","DIA_Milten_DI_Rat_ja_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:142","Tut mir leid, dass ich so dumme Fragen stelle. Bin ein bisschen nervös?","对 不 起 ， 我 问 了 这 么 傻 的 问 题 。 我 有 点 紧 张 。","","False","DIA_Milten_DI_Rat_ja_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:156","Ich habe Pedro gefunden.","我 找 到 了 比 德 罗 。","","False","DIA_Milten_DI_PEDROTOT.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:169","Ich habe Pedro gefunden.","我 找 到 了 比 德 罗 。","","False","DIA_Milten_DI_PEDROTOT_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:170","(überrascht) Was? Wo? Hier auf der Insel? Verdammt, er ist aber auch wirklich unglaublich.","（ 感 到 惊 讶 的 ） 什 么 ？ 哪 里 ？ 在 这 座 岛 上 ？ 该 死 ， 但 他 真 的 让 人 难 以 置 信 。","","False","DIA_Milten_DI_PEDROTOT_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:171","Für so einen abgebrühten Mistkerl hätte ich ihn nun wirklich nicht gehalten.","我 真 的 不 知 道 他 是 一 个 这 么 可 恶 的 混 蛋 。","","False","DIA_Milten_DI_PEDROTOT_03_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:176","Er ist tot.","他 已 经 死 了 。","","False","DIA_Milten_DI_PEDROTOT_15_03","",""
